id,c1_high,c2_high,c3_high,c4_high,water_diff
519,1.6,4.1,13.2,17.6,-7.4344
520,99.9,99.9,9.9,14.9,3.87787
521,99.9,99.9,9.9,14.9,3.87787
522,99.9,0.5,9.6,13.9,-1.99118
523,99.9,0.5,9.6,13.9,-1.99118
524,3.3,5.5,15.4,19.7,-13.09305
525,3.3,5.5,15.4,19.7,-13.09305
526,3.3,5.5,15.4,19.7,-13.09305
527,99.9,99.9,99.9,99.9,79.61868
528,99.9,99.9,99.9,99.9,79.61868
529,99.9,99.9,99.9,99.9,55.8989
530,5.9,9.4,13.1,17.6,-8.0235
531,5.9,9.4,13.1,17.6,-8.0235
532,99.9,0.8,10.4,14.9,-10.41047
533,4.5,12,17,21.6,-9.15533
534,4.5,12,17,21.6,-9.15533
535,99.9,99.9,5.9,10.4,15.74746
536,99.9,99.9,5.9,10.4,15.74746
537,99.9,99.9,4.5,9.2,67.01055
538,99.9,99.9,4.5,9.2,67.01055
539,99.9,99.9,4.5,9.2,67.01055
540,3.4,5.8,14.7,18.9,-19.84838
541,3.4,5.8,14.7,18.9,-19.84838
542,3.4,5.8,14.7,18.9,-19.84838
543,99.9,99.9,7.9,12.6,6.81043
544,2.6,5,14.3,18.8,-10.52489
545,2.6,5,14.3,18.8,-10.52489
546,1.5,4,14.3,18.6,-8.83456
547,3.9,6.5,16.7,21.6,9.5438
548,3.9,6.5,16.7,21.6,9.5438
549,99.9,99.9,4.5,9.2,13.42337
550,99.9,99.9,4.5,9.2,13.42337
551,99.9,99.9,4.5,9.2,37.80386
552,99.9,99.9,4.5,9.2,37.80386
553,99.9,99.9,99.9,99.9,85.29914
554,99.9,99.9,99.9,99.9,85.29914
555,99.9,99.9,99.9,99.9,85.29914
556,99.9,99.9,10.1,14.4,-14.64343
557,99.9,99.9,99.9,99.9,102.78378
558,99.9,99.9,99.9,99.9,102.78378
559,99.9,2,13,17.9,-9.09674
560,3.3,5.3,14.4,17.8,-12.3543
561,1.5,4,14.3,18.6,-16.10441
562,99.9,1.9,5.8,10.5,9.30614
563,99.9,0.8,10.4,14.9,-13.27124
564,99.9,0.8,10.4,14.9,-13.27124
565,3.3,5.8,16.8,20.7,-1.74398
566,3.3,5.8,16.8,20.7,-1.74398
567,99.9,99.9,9.9,14.9,-8.31609
568,99.9,1.9,5.8,10.5,7.27349
569,99.9,2.1,6.8,11.2,3.65791
570,99.9,2.1,6.8,11.2,3.65791
571,99.9,0.8,10.4,14.9,-5.87592
572,99.9,0.8,10.4,14.9,-5.87592
573,99.9,99.9,7.9,12.6,9.15439
574,99.9,99.9,5.9,10.4,5.82441
575,99.9,99.9,5.9,10.4,5.82441
576,99.9,99.9,4.3,9.1,13.65372
577,1.6,4.1,13.2,17.6,-10.55433
578,1.6,4.1,13.2,17.6,-10.55433
579,99.9,99.9,99.9,99.9,121.45449
580,1.5,4,14.3,18.6,-14.73231
581,99.9,99.9,9.9,14.9,6.44044
582,99.9,99.9,9.9,14.9,6.44044
583,2.6,5,14.3,18.8,-15.86613
584,2.6,5,14.3,18.8,-15.86613
585,99.9,99.9,99.9,99.9,89.88396
586,99.9,99.9,99.9,99.9,89.88396
587,1.5,4,14.3,18.6,8.17548
